  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(3)-418                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.200   0.8306   0.00781   0.00277  -0.0818   0.5133   0.6430
   4.300   0.8416   0.00787   0.00282  -0.0818   0.5104   0.6451
   4.400   0.8532   0.00787   0.00284  -0.0820   0.5088   0.6472
   4.600   0.8763   0.00789   0.00291  -0.0822   0.5050   0.6516
   4.700   0.8876   0.00790   0.00294  -0.0823   0.5025   0.6540
   4.800   0.8987   0.00793   0.00298  -0.0823   0.4999   0.6563
   4.900   0.9094   0.00798   0.00302  -0.0823   0.4966   0.6587
   5.000   0.9201   0.00804   0.00307  -0.0823   0.4933   0.6612
   5.100   0.9317   0.00804   0.00310  -0.0824   0.4904   0.6636
   5.200   0.9430   0.00807   0.00314  -0.0824   0.4865   0.6658
   5.400   0.9644   0.00816   0.00322  -0.0824   0.4790   0.6705
   5.500   0.9752   0.00821   0.00328  -0.0824   0.4761   0.6730
   5.600   0.9866   0.00822   0.00333  -0.0825   0.4737   0.6755
   5.700   0.9978   0.00825   0.00338  -0.0825   0.4706   0.6781
   5.800   1.0087   0.00829   0.00342  -0.0825   0.4666   0.6807
   5.900   1.0192   0.00835   0.00348  -0.0825   0.4628   0.6832
   6.000   1.0297   0.00842   0.00354  -0.0824   0.4588   0.6855
   6.100   1.0408   0.00845   0.00358  -0.0825   0.4540   0.6880
   6.200   1.0513   0.00850   0.00364  -0.0824   0.4486   0.6906
   6.300   1.0611   0.00858   0.00372  -0.0822   0.4429   0.6933
   6.400   1.0719   0.00863   0.00378  -0.0822   0.4362   0.6960
   6.500   1.0812   0.00874   0.00386  -0.0820   0.4267   0.6987
   6.600   1.0903   0.00887   0.00394  -0.0817   0.4121   0.7014
   6.700   1.0976   0.00910   0.00407  -0.0811   0.3906   0.7039
   6.800   1.1023   0.00945   0.00428  -0.0801   0.3641   0.7064
   6.900   1.1073   0.00979   0.00452  -0.0792   0.3413   0.7091
   7.000   1.1117   0.01015   0.00477  -0.0782   0.3176   0.7119
   7.100   1.1157   0.01053   0.00503  -0.0771   0.2943   0.7148
   7.200   1.1186   0.01095   0.00532  -0.0759   0.2686   0.7178
   7.300   1.1215   0.01135   0.00560  -0.0746   0.2461   0.7207
   7.400   1.1249   0.01171   0.00585  -0.0734   0.2267   0.7233
   7.500   1.1281   0.01205   0.00610  -0.0722   0.2093   0.7262
   7.600   1.1314   0.01236   0.00635  -0.0710   0.1941   0.7293
   7.700   1.1342   0.01264   0.00657  -0.0697   0.1822   0.7325
   7.800   1.1352   0.01292   0.00680  -0.0680   0.1701   0.7358
   7.900   1.1372   0.01319   0.00702  -0.0666   0.1587   0.7390
   8.000   1.1403   0.01344   0.00724  -0.0653   0.1509   0.7421
