  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0610 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.300   0.8920   0.01226   0.00538  -0.1011   0.0317   0.7350
   4.400   0.9030   0.01234   0.00548  -0.1010   0.0305   0.7361
   4.500   0.9137   0.01245   0.00558  -0.1010   0.0295   0.7370
   4.600   0.9242   0.01261   0.00574  -0.1008   0.0284   0.7379
   4.700   0.9350   0.01270   0.00585  -0.1007   0.0275   0.7388
   4.800   0.9458   0.01281   0.00596  -0.1006   0.0267   0.7396
   4.900   0.9564   0.01294   0.00609  -0.1005   0.0259   0.7404
   5.000   0.9667   0.01315   0.00629  -0.1003   0.0250   0.7412
   5.100   0.9775   0.01324   0.00640  -0.1002   0.0244   0.7421
   5.200   0.9882   0.01335   0.00653  -0.1001   0.0238   0.7429
   5.300   0.9989   0.01347   0.00666  -0.0999   0.0232   0.7438
   5.400   1.0094   0.01360   0.00679  -0.0998   0.0227   0.7447
   5.500   1.0198   0.01377   0.00695  -0.0996   0.0222   0.7456
   5.600   1.0297   0.01402   0.00721  -0.0994   0.0217   0.7465
   5.700   1.0404   0.01414   0.00735  -0.0992   0.0214   0.7474
   5.800   1.0509   0.01428   0.00750  -0.0991   0.0211   0.7483
   5.900   1.0614   0.01442   0.00766  -0.0989   0.0208   0.7492
   6.000   1.0719   0.01457   0.00782  -0.0988   0.0204   0.7500
   6.100   1.0823   0.01473   0.00798  -0.0986   0.0201   0.7508
   6.200   1.0927   0.01488   0.00814  -0.0985   0.0199   0.7516
   6.300   1.1030   0.01505   0.00831  -0.0983   0.0196   0.7522
   6.500   1.1231   0.01545   0.00872  -0.0979   0.0191   0.7540
   6.600   1.1325   0.01574   0.00904  -0.0975   0.0188   0.7551
   6.700   1.1420   0.01602   0.00935  -0.0972   0.0186   0.7560
   6.800   1.1522   0.01618   0.00954  -0.0970   0.0184   0.7569
   6.900   1.1623   0.01636   0.00974  -0.0968   0.0183   0.7578
   7.000   1.1723   0.01654   0.00995  -0.0965   0.0181   0.7586
   7.100   1.1823   0.01673   0.01017  -0.0963   0.0180   0.7595
   7.200   1.1921   0.01693   0.01039  -0.0960   0.0178   0.7604
   7.300   1.2020   0.01714   0.01062  -0.0958   0.0177   0.7613
   7.400   1.2118   0.01735   0.01086  -0.0955   0.0175   0.7622
   7.500   1.2215   0.01756   0.01110  -0.0952   0.0174   0.7631
   7.600   1.2312   0.01778   0.01134  -0.0949   0.0172   0.7641
   7.700   1.2409   0.01800   0.01158  -0.0947   0.0171   0.7650
   7.800   1.2505   0.01822   0.01182  -0.0944   0.0170   0.7660
   7.900   1.2601   0.01845   0.01206  -0.0941   0.0168   0.7670
   8.000   1.2696   0.01868   0.01231  -0.0938   0.0167   0.7680
