  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0012 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.4461   0.00918   0.00290   0.0006   0.8102   0.0908
  -3.900  -0.4351   0.00910   0.00283   0.0006   0.8079   0.0969
  -3.700  -0.4129   0.00890   0.00271   0.0005   0.8046   0.1129
  -3.600  -0.4019   0.00879   0.00264   0.0005   0.8028   0.1213
  -3.500  -0.3908   0.00869   0.00258   0.0005   0.8009   0.1303
  -3.400  -0.3799   0.00857   0.00252   0.0005   0.7989   0.1418
  -3.300  -0.3689   0.00847   0.00246   0.0005   0.7970   0.1534
  -3.200  -0.3580   0.00835   0.00240   0.0005   0.7951   0.1675
  -3.100  -0.3471   0.00823   0.00233   0.0005   0.7932   0.1843
  -2.900  -0.3256   0.00796   0.00221   0.0005   0.7894   0.2249
  -2.800  -0.3149   0.00782   0.00215   0.0005   0.7874   0.2489
  -2.700  -0.3041   0.00764   0.00209   0.0005   0.7861   0.2753
  -2.500  -0.2827   0.00726   0.00196   0.0005   0.7833   0.3382
  -2.400  -0.2721   0.00705   0.00189   0.0005   0.7817   0.3738
  -2.300  -0.2617   0.00682   0.00181   0.0005   0.7799   0.4149
  -2.200  -0.2513   0.00658   0.00174   0.0006   0.7780   0.4598
  -2.100  -0.2411   0.00632   0.00166   0.0006   0.7760   0.5084
  -2.000  -0.2311   0.00607   0.00160   0.0008   0.7739   0.5591
  -1.900  -0.2207   0.00590   0.00159   0.0009   0.7717   0.6032
  -1.800  -0.2096   0.00585   0.00160   0.0009   0.7693   0.6290
  -1.700  -0.1983   0.00585   0.00161   0.0009   0.7665   0.6431
  -1.600  -0.1866   0.00583   0.00161   0.0009   0.7645   0.6534
  -1.500  -0.1750   0.00580   0.00161   0.0008   0.7623   0.6622
  -1.400  -0.1632   0.00580   0.00160   0.0007   0.7602   0.6688
  -1.300  -0.1516   0.00578   0.00160   0.0007   0.7580   0.6741
  -1.200  -0.1399   0.00577   0.00160   0.0006   0.7560   0.6792
  -1.100  -0.1282   0.00577   0.00160   0.0006   0.7539   0.6838
  -1.000  -0.1164   0.00579   0.00159   0.0005   0.7516   0.6879
  -0.900  -0.1050   0.00578   0.00159   0.0005   0.7492   0.6921
  -0.800  -0.0935   0.00579   0.00160   0.0004   0.7466   0.6966
  -0.700  -0.0818   0.00580   0.00160   0.0004   0.7444   0.7010
  -0.600  -0.0699   0.00579   0.00160   0.0003   0.7427   0.7047
  -0.500  -0.0580   0.00580   0.00160   0.0002   0.7409   0.7075
  -0.400  -0.0463   0.00578   0.00160   0.0001   0.7391   0.7111
  -0.300  -0.0348   0.00576   0.00161   0.0001   0.7370   0.7154
  -0.200  -0.0232   0.00575   0.00161   0.0001   0.7344   0.7199
  -0.100  -0.0115   0.00577   0.00162   0.0000   0.7313   0.7241
   0.000   0.0001   0.00581   0.00162  -0.0000   0.7274   0.7273
   0.100   0.0116   0.00581   0.00161  -0.0000   0.7234   0.7301
   0.200   0.0233   0.00578   0.00161  -0.0001   0.7199   0.7326
   0.300   0.0350   0.00576   0.00160  -0.0002   0.7158   0.7349
