  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(4)-221                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.3043   0.00771   0.00250  -0.0302   0.5985   0.4960
  -3.900  -0.2926   0.00772   0.00249  -0.0304   0.5966   0.4979
  -3.800  -0.2808   0.00774   0.00249  -0.0305   0.5946   0.5002
  -3.700  -0.2691   0.00777   0.00249  -0.0307   0.5924   0.5024
  -3.600  -0.2571   0.00779   0.00249  -0.0309   0.5911   0.5044
  -3.500  -0.2450   0.00781   0.00249  -0.0311   0.5898   0.5062
  -3.400  -0.2333   0.00777   0.00247  -0.0312   0.5883   0.5092
  -3.300  -0.2216   0.00774   0.00246  -0.0314   0.5868   0.5120
  -3.200  -0.2098   0.00774   0.00246  -0.0315   0.5851   0.5143
  -3.100  -0.1980   0.00775   0.00247  -0.0317   0.5835   0.5163
  -3.000  -0.1861   0.00776   0.00247  -0.0318   0.5819   0.5180
  -2.900  -0.1742   0.00776   0.00246  -0.0320   0.5804   0.5191
  -2.800  -0.1624   0.00777   0.00245  -0.0322   0.5788   0.5200
  -2.700  -0.1506   0.00778   0.00243  -0.0323   0.5772   0.5208
  -2.600  -0.1389   0.00779   0.00242  -0.0325   0.5754   0.5215
  -2.500  -0.1271   0.00781   0.00241  -0.0326   0.5735   0.5222
  -2.400  -0.1151   0.00781   0.00240  -0.0328   0.5724   0.5228
  -2.300  -0.1031   0.00780   0.00239  -0.0330   0.5714   0.5235
  -2.200  -0.0911   0.00780   0.00238  -0.0332   0.5704   0.5240
  -2.100  -0.0791   0.00780   0.00237  -0.0334   0.5692   0.5245
  -2.000  -0.0671   0.00780   0.00236  -0.0336   0.5680   0.5250
  -1.900  -0.0552   0.00777   0.00233  -0.0338   0.5668   0.5259
  -1.800  -0.0434   0.00775   0.00231  -0.0340   0.5655   0.5272
