  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.700   0.6841   0.00857   0.00303  -0.0156   0.2078   0.9944
   4.800   0.6983   0.00864   0.00309  -0.0163   0.2053   0.9949
   4.900   0.7124   0.00874   0.00316  -0.0170   0.2026   0.9954
   5.000   0.7267   0.00878   0.00320  -0.0177   0.2016   0.9960
   5.100   0.7410   0.00881   0.00324  -0.0184   0.2005   0.9967
   5.200   0.7552   0.00886   0.00329  -0.0191   0.1991   0.9973
   5.300   0.7693   0.00891   0.00334  -0.0198   0.1976   0.9980
   5.400   0.7833   0.00896   0.00339  -0.0205   0.1959   0.9986
   5.500   0.7973   0.00902   0.00344  -0.0211   0.1940   0.9992
   5.600   0.8112   0.00910   0.00350  -0.0218   0.1921   0.9997
   5.700   0.8226   0.00918   0.00356  -0.0219   0.1900   1.0000
   5.800   0.8315   0.00927   0.00364  -0.0215   0.1879   1.0000
   5.900   0.8408   0.00931   0.00369  -0.0211   0.1870   1.0000
   6.000   0.8502   0.00934   0.00373  -0.0208   0.1862   1.0000
   6.100   0.8595   0.00938   0.00378  -0.0205   0.1853   1.0000
   6.200   0.8689   0.00942   0.00382  -0.0201   0.1841   1.0000
   6.300   0.8782   0.00947   0.00387  -0.0198   0.1828   1.0000
   6.400   0.8874   0.00952   0.00392  -0.0194   0.1814   1.0000
   6.500   0.8966   0.00958   0.00398  -0.0191   0.1799   1.0000
   6.600   0.9058   0.00964   0.00403  -0.0187   0.1785   1.0000
   6.700   0.9149   0.00972   0.00410  -0.0183   0.1770   1.0000
   6.800   0.9238   0.00980   0.00418  -0.0179   0.1752   1.0000
   6.900   0.9325   0.00992   0.00428  -0.0175   0.1731   1.0000
   7.000   0.9420   0.00996   0.00434  -0.0171   0.1723   1.0000
   7.100   0.9515   0.01000   0.00439  -0.0168   0.1714   1.0000
   7.200   0.9610   0.01004   0.00444  -0.0165   0.1704   1.0000
   7.300   0.9705   0.01009   0.00450  -0.0162   0.1692   1.0000
   7.400   0.9799   0.01015   0.00456  -0.0159   0.1679   1.0000
   7.500   0.9892   0.01022   0.00463  -0.0155   0.1665   1.0000
   7.600   0.9986   0.01029   0.00470  -0.0152   0.1650   1.0000
   7.700   1.0078   0.01037   0.00477  -0.0149   0.1634   1.0000
   7.800   1.0169   0.01046   0.00485  -0.0145   0.1616   1.0000
   7.900   1.0258   0.01058   0.00496  -0.0141   0.1595   1.0000
   8.000   1.0353   0.01065   0.00504  -0.0138   0.1584   1.0000
