  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23015                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2909   0.00952   0.00324  -0.0152   0.7765   0.0517
  -3.900  -0.2801   0.00948   0.00318  -0.0151   0.7683   0.0528
  -3.800  -0.2693   0.00946   0.00313  -0.0149   0.7595   0.0537
  -3.700  -0.2590   0.00938   0.00303  -0.0147   0.7518   0.0556
  -3.600  -0.2483   0.00933   0.00297  -0.0146   0.7433   0.0573
  -3.500  -0.2376   0.00930   0.00292  -0.0144   0.7357   0.0589
  -3.400  -0.2267   0.00928   0.00287  -0.0143   0.7276   0.0605
  -3.200  -0.2055   0.00918   0.00274  -0.0140   0.7112   0.0650
  -3.100  -0.1948   0.00915   0.00269  -0.0138   0.7022   0.0673
  -3.000  -0.1839   0.00913   0.00264  -0.0137   0.6940   0.0695
  -2.900  -0.1735   0.00908   0.00258  -0.0136   0.6845   0.0730
  -2.800  -0.1627   0.00904   0.00253  -0.0134   0.6760   0.0764
  -2.700  -0.1520   0.00901   0.00248  -0.0133   0.6670   0.0805
  -2.600  -0.1415   0.00896   0.00243  -0.0131   0.6588   0.0857
  -2.500  -0.1308   0.00891   0.00238  -0.0130   0.6504   0.0921
  -2.400  -0.1203   0.00886   0.00233  -0.0128   0.6425   0.1002
  -2.300  -0.1098   0.00877   0.00227  -0.0127   0.6345   0.1131
  -2.200  -0.1002   0.00863   0.00220  -0.0124   0.6263   0.1374
  -2.100  -0.0951   0.00793   0.00198  -0.0116   0.6196   0.2672
  -2.000  -0.0868   0.00764   0.00189  -0.0111   0.6113   0.3290
  -1.900  -0.0778   0.00745   0.00184  -0.0108   0.6034   0.3721
  -1.800  -0.0680   0.00732   0.00179  -0.0105   0.5948   0.4043
  -1.700  -0.0583   0.00722   0.00176  -0.0103   0.5862   0.4328
  -1.600  -0.0479   0.00714   0.00174  -0.0101   0.5778   0.4559
  -1.500  -0.0380   0.00708   0.00172  -0.0099   0.5689   0.4776
  -1.400  -0.0276   0.00701   0.00170  -0.0097   0.5607   0.4981
  -1.300  -0.0174   0.00697   0.00168  -0.0095   0.5523   0.5175
  -1.200  -0.0068   0.00692   0.00167  -0.0093   0.5448   0.5345
  -1.100   0.0038   0.00690   0.00166  -0.0092   0.5365   0.5499
  -1.000   0.0144   0.00687   0.00165  -0.0090   0.5290   0.5643
  -0.900   0.0250   0.00684   0.00164  -0.0089   0.5209   0.5775
  -0.800   0.0355   0.00683   0.00164  -0.0087   0.5130   0.5911
  -0.700   0.0462   0.00681   0.00163  -0.0086   0.5050   0.6057
  -0.600   0.0567   0.00681   0.00163  -0.0084   0.4963   0.6195
  -0.500   0.0673   0.00678   0.00163  -0.0083   0.4884   0.6324
  -0.400   0.0779   0.00679   0.00163  -0.0081   0.4794   0.6444
  -0.300   0.0886   0.00679   0.00164  -0.0080   0.4715   0.6559
  -0.200   0.0992   0.00679   0.00164  -0.0079   0.4626   0.6670
  -0.100   0.1100   0.00680   0.00165  -0.0077   0.4548   0.6788
   0.000   0.1206   0.00679   0.00166  -0.0076   0.4467   0.6906
   0.100   0.1312   0.00681   0.00167  -0.0074   0.4391   0.7011
   0.200   0.1420   0.00681   0.00168  -0.0073   0.4316   0.7119
   0.300   0.1526   0.00683   0.00169  -0.0071   0.4235   0.7222
   0.400   0.1634   0.00684   0.00170  -0.0070   0.4164   0.7334
   0.500   0.1739   0.00684   0.00172  -0.0068   0.4084   0.7444
   0.700   0.1951   0.00688   0.00176  -0.0065   0.3931   0.7661
   0.800   0.2055   0.00691   0.00178  -0.0063   0.3852   0.7776
   0.900   0.2162   0.00692   0.00180  -0.0061   0.3776   0.7894
   1.000   0.2265   0.00695   0.00184  -0.0059   0.3694   0.7995
   1.100   0.2374   0.00698   0.00186  -0.0058   0.3624   0.8085
   1.200   0.2481   0.00702   0.00188  -0.0057   0.3546   0.8150
   1.300   0.2588   0.00706   0.00191  -0.0055   0.3478   0.8215
   1.400   0.2699   0.00710   0.00193  -0.0055   0.3410   0.8278
   1.500   0.2805   0.00715   0.00196  -0.0053   0.3339   0.8335
   1.600   0.2914   0.00718   0.00199  -0.0052   0.3281   0.8398
   1.700   0.3023   0.00723   0.00202  -0.0051   0.3217   0.8459
   1.900   0.3239   0.00731   0.00209  -0.0049   0.3099   0.8571
   2.000   0.3347   0.00737   0.00212  -0.0048   0.3038   0.8631
   2.100   0.3454   0.00743   0.00216  -0.0046   0.2975   0.8683
   2.200   0.3562   0.00746   0.00219  -0.0045   0.2929   0.8737
   2.300   0.3670   0.00751   0.00223  -0.0044   0.2877   0.8792
   2.400   0.3777   0.00758   0.00227  -0.0043   0.2823   0.8845
   2.500   0.3885   0.00762   0.00231  -0.0041   0.2781   0.8892
   2.600   0.3993   0.00766   0.00235  -0.0040   0.2743   0.8942
   2.700   0.4101   0.00772   0.00238  -0.0039   0.2703   0.8993
   2.800   0.4208   0.00778   0.00243  -0.0037   0.2662   0.9039
   2.900   0.4314   0.00784   0.00248  -0.0036   0.2625   0.9081
   3.000   0.4423   0.00787   0.00252  -0.0035   0.2599   0.9126
   3.100   0.4530   0.00792   0.00256  -0.0033   0.2570   0.9174
   3.200   0.4637   0.00798   0.00260  -0.0032   0.2539   0.9216
   3.300   0.4744   0.00804   0.00265  -0.0030   0.2506   0.9252
   3.400   0.4849   0.00812   0.00271  -0.0028   0.2469   0.9292
   3.500   0.4956   0.00816   0.00275  -0.0027   0.2450   0.9335
   3.600   0.5061   0.00820   0.00279  -0.0025   0.2429   0.9376
   3.700   0.5172   0.00825   0.00284  -0.0025   0.2407   0.9406
   3.800   0.5281   0.00831   0.00289  -0.0024   0.2383   0.9438
   3.900   0.5387   0.00838   0.00294  -0.0022   0.2361   0.9474
   4.000   0.5489   0.00845   0.00300  -0.0019   0.2337   0.9513
   4.100   0.5592   0.00853   0.00306  -0.0017   0.2310   0.9546
   4.200   0.5710   0.00859   0.00312  -0.0018   0.2293   0.9569
   4.300   0.5827   0.00863   0.00317  -0.0019   0.2280   0.9594
   4.400   0.5939   0.00869   0.00322  -0.0019   0.2266   0.9622
   4.500   0.6047   0.00874   0.00327  -0.0018   0.2249   0.9654
   4.600   0.6149   0.00880   0.00332  -0.0015   0.2232   0.9686
   4.700   0.6279   0.00887   0.00337  -0.0019   0.2212   0.9700
   4.800   0.6406   0.00895   0.00344  -0.0023   0.2191   0.9715
   4.900   0.6533   0.00904   0.00351  -0.0026   0.2169   0.9731
   5.000   0.6659   0.00915   0.00360  -0.0029   0.2145   0.9748
   5.100   0.6788   0.00921   0.00366  -0.0033   0.2133   0.9766
   5.200   0.6913   0.00926   0.00371  -0.0036   0.2123   0.9784
   5.300   0.7028   0.00931   0.00377  -0.0036   0.2113   0.9807
   5.400   0.7158   0.00937   0.00382  -0.0041   0.2100   0.9820
   5.500   0.7303   0.00944   0.00388  -0.0048   0.2085   0.9826
   5.600   0.7448   0.00951   0.00395  -0.0056   0.2069   0.9832
   5.700   0.7594   0.00959   0.00401  -0.0063   0.2052   0.9837
   5.800   0.7739   0.00968   0.00408  -0.0071   0.2034   0.9842
   5.900   0.7881   0.00978   0.00416  -0.0078   0.2014   0.9848
   6.000   0.8021   0.00989   0.00426  -0.0085   0.1992   0.9855
   6.100   0.8163   0.00998   0.00434  -0.0092   0.1979   0.9862
   6.200   0.8306   0.01003   0.00440  -0.0099   0.1971   0.9869
   6.300   0.8447   0.01008   0.00446  -0.0106   0.1962   0.9877
   6.400   0.8587   0.01014   0.00452  -0.0112   0.1951   0.9886
   6.500   0.8724   0.01020   0.00458  -0.0118   0.1938   0.9895
   6.600   0.8859   0.01027   0.00464  -0.0124   0.1924   0.9904
   6.700   0.8992   0.01034   0.00471  -0.0129   0.1911   0.9915
   6.800   0.9120   0.01042   0.00478  -0.0133   0.1896   0.9925
   6.900   0.9252   0.01051   0.00486  -0.0138   0.1882   0.9933
   7.000   0.9393   0.01061   0.00494  -0.0145   0.1866   0.9937
   7.100   0.9532   0.01073   0.00504  -0.0152   0.1846   0.9942
   7.200   0.9670   0.01084   0.00514  -0.0159   0.1830   0.9947
   7.300   0.9813   0.01088   0.00520  -0.0166   0.1824   0.9952
