  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.200   0.6073   0.00969   0.00347  -0.0372   0.0253   0.8715
   4.300   0.6162   0.00998   0.00382  -0.0367   0.0231   0.8753
   4.400   0.6267   0.01005   0.00390  -0.0367   0.0228   0.8791
   4.500   0.6370   0.01012   0.00398  -0.0365   0.0224   0.8825
   4.600   0.6470   0.01021   0.00410  -0.0363   0.0219   0.8861
   4.700   0.6570   0.01032   0.00423  -0.0361   0.0214   0.8899
   4.800   0.6671   0.01043   0.00436  -0.0360   0.0208   0.8939
   4.900   0.6768   0.01055   0.00451  -0.0357   0.0201   0.8974
   5.000   0.6863   0.01068   0.00468  -0.0354   0.0197   0.9013
   5.100   0.6959   0.01082   0.00484  -0.0351   0.0191   0.9055
   5.300   0.7148   0.01109   0.00514  -0.0346   0.0182   0.9136
   5.400   0.7239   0.01123   0.00531  -0.0342   0.0178   0.9181
   5.500   0.7330   0.01143   0.00553  -0.0339   0.0174   0.9228
   5.600   0.7411   0.01165   0.00578  -0.0333   0.0170   0.9274
   5.700   0.7484   0.01196   0.00614  -0.0326   0.0167   0.9327
   5.900   0.7624   0.01264   0.00691  -0.0311   0.0162   0.9442
   6.000   0.7687   0.01307   0.00739  -0.0302   0.0160   0.9512
   6.100   0.7744   0.01360   0.00799  -0.0292   0.0158   0.9592
   6.200   0.7815   0.01428   0.00872  -0.0286   0.0156   0.9681
   6.400   0.8071   0.01463   0.00914  -0.0295   0.0155   0.9887
   6.500   0.8182   0.01484   0.00936  -0.0297   0.0154   1.0000
   6.600   0.8287   0.01500   0.00954  -0.0297   0.0152   1.0000
   6.700   0.8396   0.01503   0.00957  -0.0298   0.0150   1.0000
   6.800   0.8496   0.01528   0.00984  -0.0297   0.0149   1.0000
   6.900   0.8599   0.01543   0.01000  -0.0296   0.0146   1.0000
   7.000   0.8698   0.01569   0.01029  -0.0295   0.0144   1.0000
   7.100   0.8795   0.01599   0.01061  -0.0294   0.0142   1.0000
   7.200   0.8892   0.01630   0.01094  -0.0292   0.0139   1.0000
   7.300   0.8992   0.01650   0.01117  -0.0292   0.0136   1.0000
   7.400   0.9087   0.01687   0.01156  -0.0290   0.0134   1.0000
   7.500   0.9183   0.01719   0.01192  -0.0288   0.0132   1.0000
   7.600   0.9279   0.01747   0.01223  -0.0287   0.0130   1.0000
   7.700   0.9375   0.01775   0.01252  -0.0286   0.0128   1.0000
   7.800   0.9472   0.01795   0.01275  -0.0284   0.0125   1.0000
   7.900   0.9568   0.01814   0.01295  -0.0283   0.0123   1.0000
   8.000   0.9668   0.01811   0.01290  -0.0283   0.0120   1.0000
